,loss,accuracy,val_loss,val_accuracy,model,epoch
0,0.476722,0.952775,0.482915,0.940553,XGBoost,1
1,0.354719,0.960242,0.365132,0.947917,XGBoost,2
2,0.276116,0.962474,0.291733,0.947378,XGBoost,3
3,0.223432,0.96436,0.242912,0.948635,XGBoost,4
4,0.185075,0.966554,0.20869,0.951868,XGBoost,5
5,0.15875,0.968478,0.186263,0.952047,XGBoost,6
6,0.139207,0.969209,0.168453,0.953305,XGBoost,7
7,0.123173,0.970826,0.156997,0.952945,XGBoost,8
8,0.111481,0.972404,0.148344,0.954562,XGBoost,9
9,0.103009,0.972712,0.142744,0.954562,XGBoost,10
10,0.095786,0.973713,0.138317,0.955819,XGBoost,11
11,0.090639,0.974405,0.135752,0.954741,XGBoost,12
12,0.085948,0.975329,0.133544,0.954741,XGBoost,13
13,0.081735,0.976561,0.131558,0.956178,XGBoost,14
14,0.076213,0.977715,0.128626,0.956897,XGBoost,15
15,0.073379,0.9781,0.127417,0.957256,XGBoost,16
16,0.070072,0.979178,0.124871,0.956897,XGBoost,17
17,0.066478,0.980102,0.122505,0.958513,XGBoost,18
18,0.064725,0.980525,0.121913,0.958872,XGBoost,19
19,0.061941,0.981564,0.120777,0.958513,XGBoost,20
20,0.060136,0.982218,0.120203,0.958693,XGBoost,21
21,0.058573,0.982719,0.119819,0.958154,XGBoost,22
22,0.05614,0.983604,0.119171,0.958693,XGBoost,23
23,0.054089,0.983912,0.117752,0.95977,XGBoost,24
24,0.052451,0.984412,0.11775,0.95995,XGBoost,25
25,0.050865,0.984951,0.116987,0.960489,XGBoost,26
26,0.048918,0.985528,0.116295,0.961207,XGBoost,27
27,0.048355,0.985605,0.115829,0.961566,XGBoost,28
28,0.04692,0.98599,0.115724,0.961386,XGBoost,29
29,0.045948,0.986221,0.116061,0.962105,XGBoost,30
30,0.044417,0.986683,0.115327,0.961746,XGBoost,31
31,0.042707,0.987607,0.114724,0.962105,XGBoost,32
32,0.041605,0.9882610000000001,0.114978,0.962823,XGBoost,33
33,0.041009,0.988607,0.115228,0.962284,XGBoost,34
34,0.040352,0.989146,0.11521,0.962644,XGBoost,35
35,0.040086,0.989069,0.115169,0.962644,XGBoost,36
36,0.039701,0.989185,0.115264,0.962284,XGBoost,37
37,0.039477,0.989339,0.115215,0.962284,XGBoost,38
38,0.03877,0.989493,0.115538,0.962823,XGBoost,39
39,0.037252,0.989762,0.11604,0.962464,XGBoost,40
40,0.036056,0.990339,0.115466,0.963182,XGBoost,41
41,0.03578,0.990339,0.115626,0.963003,XGBoost,42
42,0.035081,0.99057,0.115613,0.962823,XGBoost,43
